Timestamp,Port1_VWC,Port2_VWC,Port3_VWC,Port4_VWC,Port5_VWC,Port6_VWC,Bat_percent,mV Battery Voltage
1/29/25 15:00,0.372,0.255,0.295,0.215,0.296,0.436,88,8668
1/29/25 16:00,0.373,0.254,0.296,0.215,0.296,0.435,89,8682
1/29/25 17:00,0.373,0.254,0.296,0.215,0.297,0.436,89,8670
1/29/25 18:00,0.374,0.254,0.297,0.215,0.298,0.435,89,8671
1/29/25 19:00,0.374,0.254,0.297,0.215,0.298,0.435,89,8671
1/29/25 20:00,0.374,0.254,0.296,0.215,0.297,0.435,89,8672
1/29/25 21:00,0.374,0.253,0.295,0.215,0.296,0.435,89,8675
1/29/25 22:00,0.373,0.253,0.294,0.215,0.295,0.435,89,8673
1/29/25 23:00,0.372,0.253,0.293,0.215,0.294,0.435,89,8675
1/30/25 0:00,0.372,0.253,0.292,0.215,0.293,0.435,89,8676
1/30/25 1:00,0.371,0.253,0.291,0.215,0.292,0.435,89,8673
1/30/25 2:00,0.370,0.253,0.290,0.215,0.291,0.435,89,8675
1/30/25 3:00,0.369,0.253,0.288,0.215,0.290,0.435,89,8670
1/30/25 4:00,0.369,0.253,0.287,0.215,0.289,0.435,89,8671
1/30/25 5:00,0.368,0.253,0.287,0.215,0.289,0.435,89,8672
1/30/25 6:00,0.367,0.253,0.286,0.215,0.288,0.435,88,8667
1/30/25 7:00,0.367,0.252,0.285,0.215,0.287,0.435,88,8668
1/30/25 8:00,0.366,0.252,0.284,0.215,0.287,0.435,88,8666
1/30/25 9:00,0.365,0.252,0.284,0.215,0.287,0.435,88,8663
1/30/25 10:00,0.365,0.252,0.284,0.215,0.287,0.435,88,8663
1/30/25 11:00,0.365,0.252,0.284,0.215,0.287,0.435,88,8661
1/30/25 12:00,0.364,0.252,0.284,0.215,0.287,0.434,88,8656
1/30/25 13:00,0.365,0.252,0.285,0.215,0.288,0.434,88,8656
1/30/25 14:00,0.365,0.251,0.286,0.215,0.289,0.434,88,8651
1/30/25 15:00,0.365,0.251,0.286,0.215,0.290,0.434,88,8649
1/30/25 16:00,0.366,0.251,0.286,0.214,0.291,0.434,88,8649
1/30/25 17:00,0.367,0.251,0.286,0.214,0.292,0.434,88,8649
1/30/25 18:00,0.367,0.251,0.287,0.214,0.293,0.434,88,8652
1/30/25 19:00,0.367,0.251,0.287,0.214,0.293,0.434,88,8649
1/30/25 20:00,0.367,0.251,0.286,0.214,0.293,0.434,88,8653
1/30/25 21:00,0.367,0.251,0.285,0.214,0.292,0.434,88,8651
1/30/25 22:00,0.367,0.251,0.284,0.214,0.291,0.434,88,8652
1/30/25 23:00,0.366,0.250,0.283,0.214,0.290,0.434,88,8652
1/31/25 0:00,0.366,0.250,0.282,0.214,0.289,0.434,88,8652
1/31/25 1:00,0.365,0.250,0.281,0.214,0.288,0.434,88,8653
1/31/25 2:00,0.364,0.250,0.280,0.214,0.287,0.434,88,8649
